case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,recv_ok,read_ok,recv_hex,read_hex,verdict,checks,elapsed_s,timestamp
1,,1,0,0,0,0,0,0,0,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 65 63 66 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 36 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 3A 55,A5 60 9F A5 81 0D 3B 34 33 33 33 33 33 33 33 33 33 33 33 B9 55,PASS,未提供期望项（按通过处理）,2.008,2025-08-18 19:25:33
2,,1,0,0,0,0,0,0,0,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 65 63 66 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 37 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 CF 55,A5 60 9F A5 81 0D 3B 34 33 33 33 33 33 33 33 33 33 33 33 B9 55,PASS,未提供期望项（按通过处理）,2.009,2025-08-18 19:25:35
3,,1,0,0,0,0,0,0,0,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 65 63 66 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 36 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 3A 55,A5 60 9F A5 81 0D 3B 34 33 33 33 33 33 33 33 33 33 33 33 B9 55,PASS,未提供期望项（按通过处理）,2.015,2025-08-18 19:25:37
4,,1,0,0,0,0,0,0,0,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 65 63 66 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 37 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 CF 55,A5 60 9F A5 81 0D 3B 34 33 33 33 33 33 33 33 33 33 33 33 B9 55,PASS,未提供期望项（按通过处理）,2.01,2025-08-18 19:25:39
5,,1,0,0,0,0,0,0,0,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 65 63 66 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 37 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 CF 55,A5 60 9F A5 81 0D 3B 34 33 33 33 33 33 33 33 33 33 33 33 B9 55,PASS,未提供期望项（按通过处理）,2.004,2025-08-18 19:25:41
6,,1,0,0,0,0,0,0,0,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 65 63 66 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 36 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 3A 55,A5 60 9F A5 81 0D 3B 34 33 33 33 33 33 33 33 33 33 33 33 B9 55,PASS,未提供期望项（按通过处理）,2.009,2025-08-18 19:25:43
7,,1,0,0,0,0,0,0,0,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 65 63 66 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 37 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 CF 55,A5 60 9F A5 81 0D 3B 34 33 33 33 33 33 33 33 33 33 33 33 B9 55,PASS,未提供期望项（按通过处理）,2.005,2025-08-18 19:25:45
8,,1,0,0,0,0,0,0,0,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 65 63 66 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 36 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 3A 55,A5 60 9F A5 81 0D 3B 34 33 33 33 33 33 33 33 33 33 33 33 B9 55,PASS,未提供期望项（按通过处理）,2.01,2025-08-18 19:25:47
9,,1,0,0,0,0,0,0,0,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 65 63 66 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 37 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 CF 55,A5 60 9F A5 81 0D 3B 34 33 33 33 33 33 33 33 33 33 33 33 B9 55,PASS,未提供期望项（按通过处理）,2.012,2025-08-18 19:25:49
10,,1,0,0,0,0,0,0,0,0,,0.0,True,True,True,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 65 63 66 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 37 33 33 33 34 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 CF 55,A5 60 9F A5 81 0D 3B 34 33 33 33 33 33 33 33 33 33 33 33 B9 55,PASS,未提供期望项（按通过处理）,2.015,2025-08-18 19:25:51
