case_id,comment,screen_on,brightness,digital,logo,rim_state,rdygo,turn_left,turn_right,ring,recv_timeout,delay_after,send_ok,read_ok,recv_hex,read_hex,parse_send,parse_read,verdict,checks,elapsed_s,timestamp
2302,nan,1,1,0,0,1,1,0,2,0,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 36 33 33 33 36 33 33 33 33 3D 34 33 33 33 33 33 33 33 33 33 33 33 33 33 21 55,A5 60 9F A5 81 0D 3B 36 33 33 33 33 3D 34 33 33 33 33 33 CA 55,1,1,PASS,"{'screen_on': 1, 'brightness': 1, 'digital': 0, 'logo': 0, 'rim_state': 1, 'rdygo': 1, 'turn_left': 0, 'turn_right': 2, 'ring': 0}",2.381,2025-09-09 19:34:25
2638,nan,1,1,0,1,2,1,2,0,0,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 38 33 33 33 36 33 33 33 B3 7F 33 33 33 33 33 33 33 33 33 33 33 33 33 33 EA 55,A5 60 9F A5 81 0D 3B 36 33 33 33 B3 7F 33 33 33 33 33 33 1F 55,1,1,PASS,"{'screen_on': 1, 'brightness': 1, 'digital': 0, 'logo': 1, 'rim_state': 2, 'rdygo': 1, 'turn_left': 2, 'turn_right': 0, 'ring': 0}",2.362,2025-09-09 19:34:28
2677,nan,1,1,0,2,0,0,0,1,0,1.0,0.2,PASS,PASS,A5 60 9F A5 83 55 33 93 7F 63 64 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 89 66 69 66 65 85 64 63 64 76 63 64 92 75 A7 63 65 33 33 33 33 33 33 33 38 33 33 33 36 33 33 33 33 B4 33 33 33 33 33 33 33 33 33 33 33 33 33 33 BB 55,A5 60 9F A5 81 0D 3B 36 33 33 33 33 B4 33 33 33 33 33 33 AE 55,1,1,PASS,"{'screen_on': 1, 'brightness': 1, 'digital': 0, 'logo': 2, 'rim_state': 0, 'rdygo': 0, 'turn_left': 0, 'turn_right': 1, 'ring': 0}",2.351,2025-09-09 19:34:31
3000,nan,1,1,50,0,1,0,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.176,2025-09-09 19:34:31
5106,nan,1,2,50,0,0,0,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.171,2025-09-09 19:34:31
6739,nan,1,3,0,0,2,0,1,2,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.167,2025-09-09 19:34:31
6924,nan,1,3,0,1,1,1,1,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.168,2025-09-09 19:34:31
7347,nan,1,3,50,0,0,2,0,0,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.174,2025-09-09 19:34:32
7548,nan,1,3,50,1,0,0,1,1,2,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.164,2025-09-09 19:34:32
7975,nan,1,3,50,2,2,1,1,0,0,nan,nan,FAIL,FAIL,,,,,FAIL,{},0.171,2025-09-09 19:34:32
